232,PA,1505064,NOVO REPARTIMENTO,15398,716
233,PA,1505106,ÓBIDOS,28021,443
234,PA,1505205,OEIRAS DO PARÁ,3852,291
235,PA,1505304,ORIXIMINÁ,107603,661
236,PA,1505403,OURÉM,562,388
237,PA,1505437,OURILÂNDIA DO NORTE,14410,567
238,PA,1505486,PACAJÁ,11832,330
239,PA,1505494,PALESTINA DO PARÁ,984,362
240,PA,1505502,PARAGOMINAS,19342,254
241,PA,1505536,PARAUAPEBAS,6886,208
242,PA,1505551,PAU D'ARCO,1671,419
243,PA,1505601,PEIXE-BOI,450,222
244,PA,1505635,PIÇARRA,3312,708
245,PA,1505650,PLACAS,7173,194
246,PA,1505700,PONTA DE PEDRAS,3363,749
247,PA,1505809,PORTEL,25384,960
248,PA,1505908,PORTO DE MOZ,17423,017
249,PA,1506005,PRAINHA,14786,953
250,PA,1506104,PRIMAVERA,258,600
251,PA,1506112,QUATIPURU,326,113
252,PA,1506138,REDENÇÃO,3823,809
253,PA,1506161,RIO MARIA,4114,627
254,PA,1506187,RONDON DO PARÁ,8246,394
255,PA,1506195,RURÓPOLIS,7021,321
256,PA,1506203,SALINÓPOLIS,237,738
257,PA,1506302,SALVATERRA,1039,072
258,PA,1506351,SANTA BÁRBARA DO PARÁ,278,154
259,PA,1506401,SANTA CRUZ DO ARARI,1076,652
260,PA,1506500,SANTA IZABEL DO PARÁ,717,662
261,PA,1506559,SANTA LUZIA DO PARÁ,1356,124
262,PA,1506583,SANTA MARIA DAS BARREIRAS,10330,214
263,PA,1506609,SANTA MARIA DO PARÁ,457,724
264,PA,1506708,SANTANA DO ARAGUAIA,11591,455
265,PA,1506807,SANTARÉM,17898,389
266,PA,1506906,SANTARÉM NOVO,229,510
267,PA,1507003,SANTO ANTÔNIO DO TAUÁ,537,625
268,PA,1507102,SÃO CAETANO DE ODIVELAS,743,471
269,PA,1507151,SÃO DOMINGOS DO ARAGUAIA,1392,464
270,PA,1507201,SÃO DOMINGOS DO CAPIM,1677,249
271,PA,1507300,SÃO FÉLIX DO XINGU,84212,847
272,PA,1507409,SÃO FRANCISCO DO PARÁ,479,565
273,PA,1507458,SÃO GERALDO DO ARAGUAIA,3168,384
274,PA,1507466,SÃO JOÃO DA PONTA,195,918
275,PA,1507474,SÃO JOÃO DE PIRABAS,705,542
276,PA,1507508,SÃO JOÃO DO ARAGUAIA,1279,889
277,PA,1507607,SÃO MIGUEL DO GUAMÁ,1110,175
278,PA,1507706,SÃO SEBASTIÃO DA BOA VISTA,1632,251
279,PA,1507755,SAPUCAIA,1298,190
280,PA,1507805,SENADOR JOSÉ PORFÍRIO,14419,916
281,PA,1507904,SOURE,3517,318
282,PA,1507953,TAILÂNDIA,4430,222
283,PA,1507961,TERRA ALTA,206,414
284,PA,1507979,TERRA SANTA,1895,883
285,PA,1508001,TOMÉ-AÇU,5145,361
286,PA,1508035,TRACUATEUA,934,272
287,PA,1508050,TRAIRÃO,11991,085
288,PA,1508084,TUCUMÃ,2512,594
289,PA,1508100,TUCURUÍ,2086,189
290,PA,1508126,ULIANÓPOLIS,5088,468
291,PA,1508159,URUARÁ,10791,406
292,PA,1508209,VIGIA,539,079
293,PA,1508308,VISEU,4915,073
294,PA,1508357,VITÓRIA DO XINGU,3089,537
295,PA,1508407,XINGUARA,3779,348
296,AP,1600055,SERRA DO NAVIO,7713,046
297,AP,1600105,AMAPÁ,9167,617
298,AP,1600154,PEDRA BRANCA DO AMAPARI,9622,290
299,AP,1600204,CALÇOENE,14231,783
300,AP,1600212,CUTIAS,2179,114
301,AP,1600238,FERREIRA GOMES,4973,852
302,AP,1600253,ITAUBAL,1622,867
303,AP,1600279,LARANJAL DO JARI,30782,998
304,AP,1600303,MACAPÁ,6503,458
305,AP,1600402,MAZAGÃO,13294,778
306,AP,1600501,OIAPOQUE,22625,286
307,AP,1600535,PORTO GRANDE,4428,013
308,AP,1600550,PRACUÚBA,4948,511
309,AP,1600600,SANTANA,1541,224
310,AP,1600709,TARTARUGALZINHO,6684,705
311,AP,1600808,VITÓRIA DO JARI,2508,979
312,TO,1700251,ABREULÂNDIA,1895,212
313,TO,1700301,AGUIARNÓPOLIS,235,394
314,TO,1700350,ALIANÇA DO TOCANTINS,1579,751
315,TO,1700400,ALMAS,4013,243
316,TO,1700707,ALVORADA,1212,167
317,TO,1701002,ANANÁS,1576,973
318,TO,1701051,ANGICO,451,733
319,TO,1701101,APARECIDA DO RIO NEGRO,1160,368
320,TO,1701309,ARAGOMINAS,1173,035
321,TO,1701903,ARAGUACEMA,2778,452
322,TO,1702000,ARAGUAÇU,5167,652
323,TO,1702109,ARAGUAÍNA,4000,416
324,TO,1702158,ARAGUANÃ,836,030
325,TO,1702208,ARAGUATINS,2625,286
326,TO,1702307,ARAPOEMA,1552,217
327,TO,1702406,ARRAIAS,5786,871
328,TO,1702554,AUGUSTINÓPOLIS,394,976
329,TO,1702703,AURORA DO TOCANTINS,752,830
330,TO,1702901,AXIXÁ DO TOCANTINS,150,213
